,PLZ,Stadtteil
254,13403,Wittenau
255,13403,Tegel
256,13405,Wedding
257,13405,Reinickendorf
258,13405,Tegel
259,13407,Wedding
260,13407,Reinickendorf
261,13407,Wittenau
262,13409,Wedding
263,13409,Gesundbrunnen
264,13409,Reinickendorf
265,13435,Wittenau
266,13435,Märkisches Viertel
267,13437,Reinickendorf
268,13437,Wittenau
269,13439,Wittenau
270,13439,Märkisches Viertel
271,13465,Frohnau
272,13465,Hermsdorf
273,13467,Hermsdorf
274,13469,Wittenau
275,13469,Waidmannslust
276,13469,Lübars
277,13503,Tegel
278,13503,Heiligensee
279,13505,Tegel
280,13505,Heiligensee
281,13505,Konradshöhe
282,13507,Tegel
283,13509,Reinickendorf
284,13509,Wittenau
285,13509,Tegel
286,13509,Borsigwalde
287,13581,Staaken
288,13581,Wilhelmstadt
289,13581,Spandau
290,13583,Spandau
291,13583,Falkenhagener Feld
292,13585,Spandau
293,13585,Falkenhagener Feld
294,13585,Hakenfelde
295,13587,Spandau
296,13587,Hakenfelde
297,13589,Falkenhagener Feld
298,13589,Hakenfelde
299,13591,Staaken
300,13591,Falkenhagener Feld
301,13593,Staaken
302,13593,Wilhelmstadt
303,13595,Wilhelmstadt
304,13597,Wilhelmstadt
305,13597,Spandau
306,13599,Tegel
307,13599,Haselhorst
308,13599,Siemensstadt
309,13627,Charlottenburg-Nord
310,13627,Siemensstadt
311,13629,Charlottenburg-Nord
312,13629,Tegel
313,13629,Siemensstadt
314,14050,Charlottenburg
315,14050,Westend
316,14052,Spandau
317,14052,Westend
318,14053,Westend
319,14055,Charlottenburg
320,14055,Grunewald
321,14055,Westend
322,14057,Charlottenburg
323,14057,Westend
324,14059,Charlottenburg
325,14059,Westend
326,14089,Gatow
327,14089,Kladow
328,14109,Wannsee
329,14109,Nikolassee
330,14129,Nikolassee
331,14129,Zehlendorf
332,14163,Nikolassee
333,14163,Zehlendorf
334,14165,Zehlendorf
335,14167,Lichterfelde
336,14167,Zehlendorf
337,14169,Lichterfelde
338,14169,Zehlendorf
339,14169,Dahlem
340,14193,Grunewald
341,14193,Nikolassee
342,14193,Dahlem
343,14193,Schmargendorf
344,14195,Wilmersdorf
345,14195,Grunewald
346,14195,Steglitz
347,14195,Lichterfelde
348,14195,Dahlem
349,14195,Schmargendorf
350,14197,Wilmersdorf
351,14197,Friedenau
352,14199,Wilmersdorf
353,14199,Grunewald
354,14199,Schmargendorf
